ts,dataset,model,acc-hat,acc,acc-val-hat,acc-val,acc-clean,T-hat-RRE,acc-hat-std,acc-std,acc-val-hat-std,acc-val-std,acc-clean-std,T-hat-RRE-std
2020-11-16 21:39:02.457048,FashionMNIST0.6,lenet,0.8139000000000001,0.8621666666666666,0.3864444444444445,0.38899999999999996,0.9516666666666665,0.2775929,0.04784141627409364,0.019326004357974352,0.004459696053419889,0.0028658267503397596,0.006582805886043831,0.03926251
2020-11-16 21:42:02.692185,FashionMNIST0.6,lenet-backward,0.8320000000000001,0.8644333333333334,0.3890555555555556,0.3890555555555556,0.9516666666666668,0.22679308,0.03238106442557647,0.016361234672236703,0.004039160162065223,0.004039160162065223,0.004772607021092104,0.048087813
2020-11-16 22:04:41.910803,FashionMNIST0.6,linear,0.8338666666666666,0.8775000000000001,0.38811111111111113,0.3913888888888889,0.9343333333333333,0.4353439,0.012325402855710465,0.0016210421887717101,0.00162826120997254,0.0010686324478706298,0.0011055415967851354,0.0663731
2020-11-16 22:08:26.521762,FashionMNIST0.6,linear-backward,0.6890999999999999,0.7827333333333333,0.38025000000000003,0.38025000000000003,0.9348333333333334,0.44032383,0.03146004520728543,0.033224087647368145,0.003681891790981083,0.003681891790981083,0.0011666666666666763,0.060279414
2020-11-16 22:19:29.782542,FashionMNIST0.6,threelayer,0.8193333333333334,0.8656333333333333,0.38783333333333336,0.38761111111111113,0.9396666666666669,0.3202222,0.047762374778107956,0.006748580097571148,0.002096440251568138,0.0023379583791667525,0.002962731472438528,0.07538813
2020-11-16 22:21:56.709311,FashionMNIST0.6,threelayer-backward,0.7584,0.8651,0.38908333333333334,0.38908333333333334,0.9386666666666666,0.27455395,0.060811146639046,0.01022746846052878,0.0034247870980057406,0.0034247870980057406,0.002081665999466122,0.063058294
2020-11-16 23:36:08.462528,FashionMNIST0.6,resnet,0.7497,0.8020666666666667,0.3765833333333334,0.3819166666666666,0.4415,0.4487822,0.08237805128390287,0.09424021316708582,0.00893741096821752,0.015313317249544104,0.14048615985609084,0.11446192
2020-11-17 00:12:04.183601,FashionMNIST0.6,resnet-backward,0.7072666666666667,0.5919999999999999,0.357,0.357,0.38983333333333337,0.3418784,0.10742850852750607,0.09724310886752965,0.011414469915716197,0.011414469915716197,0.1996016171165844,0.111990586
2020-11-17 02:35:28.415013,FashionMNIST0.6,efficientnet,0.40090000000000003,0.5677333333333333,0.3383611111111111,0.3529444444444444,0.3335,1.1738479,0.04380234646175425,0.06405931279334454,0.009385806528878105,0.010804948569069968,0.002291287847477922,0.10034964
2020-11-17 02:57:52.269965,FashionMNIST0.6,efficientnet-backward,0.43676666666666664,0.4392666666666667,0.34441666666666665,0.34441666666666665,0.332,1.237082,0.04670761298879566,0.04695406738978472,0.009991856251869548,0.009991856251869548,0.0024494897427831805,0.035680514
2020-11-17 03:53:05.068660,FashionMNIST0.6,lgb,0.867,0.8673333333333332,0.3972222222222222,0.3972222222222222,0.945,0.05194014128213152,0.0,1.1102230246251565e-16,0.0,0.0,0.0,6.938893903907228e-18
2020-11-17 04:14:32.070657,FashionMNIST0.6,logistic,0.5948666666666667,0.5893666666666666,0.3684722222222222,0.3684722222222222,0.9333333333333333,1.1328051616734254,0.00039999999999999113,0.0003480102169636935,0.00018633899812497439,0.00018633899812497439,0.0,0.0007344465699125348
