ts,dataset,model,acc-hat,acc,acc-val-hat,acc-val,acc-clean,T-hat-RRE,acc-hat-std,acc-std,acc-val-hat-std,acc-val-std,acc-clean-std,T-hat-RRE-std
2020-11-16 21:43:30.219064,CIFAR,lenet,0.6103,0.5753,0.3737333333333333,0.37606666666666666,0.8233333333333335,0.6326299,0.05981275412113671,0.031208065196889945,0.005711197578247294,0.00572091678744665,0.016124515496597117,0.026262766
2020-11-16 21:46:26.831926,CIFAR,lenet-backward,0.5304,0.562,0.3762666666666667,0.3762666666666667,0.8298333333333334,0.6316434,0.05434453872183374,0.02936210709968433,0.006773805757802951,0.006773805757802951,0.015871882896073372,0.02575388
2020-11-16 22:10:10.981625,CIFAR,linear,0.5364333333333333,0.5101666666666667,0.3574333333333333,0.35436666666666666,0.723,0.59114534,0.04718875807741595,0.008245200624201525,0.0045632590692764085,0.004938398300843897,0.003929942040850526,0.012073017
2020-11-16 22:12:40.932175,CIFAR,linear-backward,0.49526666666666663,0.4787666666666667,0.35409999999999997,0.35409999999999997,0.7263333333333333,0.58889717,0.035769881806408645,0.03453823967720417,0.008728051838118797,0.008728051838118797,0.003480102169636844,0.009685419
2020-11-16 22:22:51.599459,CIFAR,threelayer,0.5462,0.47073333333333334,0.3658666666666667,0.352,0.7451666666666668,0.64533675,0.04656565257783895,0.033734189712449826,0.00654251056127879,0.0059048003070947845,0.014576426936057497,0.024489442
2020-11-16 22:25:06.399076,CIFAR,threelayer-backward,0.46883333333333344,0.4742333333333333,0.35490000000000005,0.35490000000000005,0.7548333333333334,0.65880483,0.0515075506870379,0.04071855978679883,0.006693363213744735,0.006693363213744735,0.009844626283748253,0.014771938
2020-11-17 00:44:28.085893,CIFAR,resnet,0.458,0.44383333333333336,0.3627333333333333,0.3546333333333333,0.37116666666666664,0.45036143,0.08065633542657666,0.049407657975931905,0.010959318713618408,0.008325930044812477,0.06515387768796096,0.057702653
2020-11-17 01:22:46.565472,CIFAR,resnet-backward,0.40969999999999995,0.49460000000000004,0.3549333333333333,0.3549333333333333,0.3771666666666667,0.42046577,0.053588649295660866,0.05084328864265175,0.007520047281175242,0.007520047281175242,0.06240570664788777,0.075268395
2020-11-17 03:13:57.266123,CIFAR,efficientnet,0.3781,0.3426333333333333,0.34103333333333335,0.33466666666666667,0.32166666666666666,0.22061983,0.033584404449420006,0.02939329099566014,0.010491742785003196,0.009429268853474853,0.010671873729054746,0.29324818
2020-11-17 03:35:17.741155,CIFAR,efficientnet-backward,0.35259999999999997,0.3533333333333334,0.3412,0.3412,0.31999999999999995,0.41443372,0.028088273551628472,0.027422618401604187,0.011359968701052348,0.011359968701052348,0.009999999999999998,0.34178072
2020-11-17 03:53:25.060032,CIFAR,lgb,0.489,0.5166666666666667,0.3603333333333333,0.3603333333333333,0.7616666666666667,0.6279561574841086,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0
2020-11-17 04:19:36.489100,CIFAR,logistic,0.4224666666666666,0.4087333333333333,0.3632666666666667,0.3632666666666667,0.7190000000000001,0.28280340334985715,0.0022568414506414333,0.0005925462944877069,0.0002905932629027165,0.0002905932629027165,0.0008164965809276905,0.0004603701873937029
