ts,dataset,model,acc-hat,acc,acc-val-hat,acc-val,acc-clean,T-hat-RRE,T-hat,acc-hat-std,acc-std,acc-val-hat-std,acc-val-std,acc-clean-std,T-hat-RRE-std,T-hat-std
2020-11-16 22:10:10.981625,CIFAR,linear,0.5364333333333333,0.5101666666666667,0.3574333333333333,0.35436666666666666,0.723,0.59114534,"[[0.49990898 0.23287137 0.21583214]
 [0.291761   0.5095384  0.23177782]
 [0.20832996 0.25759014 0.55239004]]",0.04718875807741595,0.008245200624201525,0.0045632590692764085,0.004938398300843897,0.003929942040850526,0.012073017,"[[0.03135654 0.02009908 0.03082482]
 [0.03091605 0.02319487 0.0290889 ]
 [0.05218466 0.02357437 0.02071245]]"
2020-11-16 22:12:40.932175,CIFAR,linear-backward,0.49526666666666663,0.4787666666666667,0.35409999999999997,0.35409999999999997,0.7263333333333333,0.58889717,"[[0.5069258  0.2470634  0.22753742]
 [0.2795531  0.5060198  0.22047997]
 [0.21352112 0.24691686 0.5519826 ]]",0.035769881806408645,0.03453823967720417,0.008728051838118797,0.008728051838118797,0.003480102169636844,0.009685419,"[[0.02682144 0.01094315 0.01842352]
 [0.03772066 0.02639015 0.02011038]
 [0.04726171 0.02223415 0.01607372]]"
2020-11-16 22:14:25.314785,FashionMNIST0.5,threelayer,0.9182666666666666,0.9273333333333333,0.48788888888888887,0.48674999999999996,0.9386666666666666,0.3613763,"[[0.66229296 0.2270211  0.23058859]
 [0.23119757 0.6641592  0.13880786]
 [0.10650948 0.10881974 0.6306036 ]]",0.00688121436311289,0.0020976176963403135,0.0026387426860084327,0.00159111149906885,0.0033166247903553916,0.088570364,"[[0.06456077 0.05979793 0.04658023]
 [0.05248424 0.06399868 0.02447061]
 [0.0221259  0.08380623 0.057286  ]]"
2020-11-16 22:18:29.139948,FashionMNIST0.5,threelayer-backward,0.8961,0.9095333333333334,0.47938888888888886,0.47938888888888886,0.9401666666666667,0.34506628,"[[0.6520479  0.2011548  0.21150784]
 [0.25018567 0.66310054 0.14334938]
 [0.09776652 0.1357447  0.64514285]]",0.026997962886114214,0.014630409730724873,0.004793256580027329,0.004793256580027329,0.001892969448600092,0.09418422,"[[0.05895049 0.04897978 0.04156421]
 [0.04227333 0.05920738 0.02609535]
 [0.02658857 0.08092577 0.05727863]]"
2020-11-16 22:19:29.782542,FashionMNIST0.6,threelayer,0.8193333333333334,0.8656333333333333,0.38783333333333336,0.38761111111111113,0.9396666666666669,0.3202222,"[[0.6308013  0.28361863 0.2553712 ]
 [0.20326348 0.46218085 0.25555483]
 [0.16593519 0.25420052 0.48907393]]",0.047762374778107956,0.006748580097571148,0.002096440251568138,0.0023379583791667525,0.002962731472438528,0.07538813,"[[0.0643841  0.01712413 0.01815001]
 [0.03464672 0.03861197 0.02217281]
 [0.03514752 0.03146844 0.03846268]]"
2020-11-16 22:21:56.709311,FashionMNIST0.6,threelayer-backward,0.7584,0.8651,0.38908333333333334,0.38908333333333334,0.9386666666666666,0.27455395,"[[0.59515494 0.2961281  0.25655448]
 [0.2212077  0.46022615 0.26537585]
 [0.18363732 0.24364574 0.47806963]]",0.060811146639046,0.01022746846052878,0.0034247870980057406,0.0034247870980057406,0.002081665999466122,0.063058294,"[[0.05709385 0.01397536 0.01014746]
 [0.03115916 0.02428395 0.0092951 ]
 [0.02963728 0.02850729 0.01463446]]"
2020-11-16 22:22:51.599459,CIFAR,threelayer,0.5462,0.47073333333333334,0.3658666666666667,0.352,0.7451666666666668,0.64533675,"[[0.45512596 0.25538236 0.20707002]
 [0.31486452 0.46074185 0.2727415 ]
 [0.23000951 0.28387585 0.5201886 ]]",0.04656565257783895,0.033734189712449826,0.00654251056127879,0.0059048003070947845,0.014576426936057497,0.024489442,"[[0.03949761 0.03219347 0.04455399]
 [0.04377982 0.02668995 0.04224627]
 [0.06435531 0.02780767 0.06515927]]"
2020-11-16 22:25:06.399076,CIFAR,threelayer-backward,0.46883333333333344,0.4742333333333333,0.35490000000000005,0.35490000000000005,0.7548333333333334,0.65880483,"[[0.44450727 0.28978294 0.23531196]
 [0.3390401  0.43757614 0.2464591 ]
 [0.2164526  0.2726409  0.51822895]]",0.0515075506870379,0.04071855978679883,0.006693363213744735,0.006693363213744735,0.009844626283748253,0.014771938,"[[0.02899596 0.02999099 0.02736771]
 [0.0418775  0.02489726 0.02221494]
 [0.04682318 0.02907762 0.03338545]]"
2020-11-16 22:26:15.301216,FashionMNIST0.5,resnet,0.8895666666666667,0.8507,0.47488888888888886,0.4613611111111111,0.5478333333333334,0.38626236,"[[0.69874114 0.1469189  0.22986796]
 [0.17881872 0.709737   0.15418938]
 [0.12244008 0.14334407 0.61594266]]",0.04847841444051845,0.10666723437348927,0.016256147934827988,0.03092041007585861,0.2243324046538479,0.079201505,"[[0.0410052  0.06895159 0.03425936]
 [0.03755933 0.10085411 0.03245944]
 [0.03177494 0.05195799 0.03572545]]"
2020-11-16 23:03:46.012856,FashionMNIST0.5,resnet-backward,0.8074666666666668,0.8352666666666666,0.45838888888888885,0.45838888888888885,0.4568333333333333,0.39842784,"[[0.7232281  0.14352389 0.20595536]
 [0.16446616 0.6736692  0.12801138]
 [0.11230572 0.18280692 0.66603327]]",0.05318128325725969,0.09814023979319934,0.02258652772269127,0.02258652772269127,0.21478083144348697,0.06329136,"[[0.07774263 0.04514288 0.03878369]
 [0.05584434 0.05142317 0.03070324]
 [0.0384075  0.02288834 0.05172995]]"
